top - 18:26:58 up 24 min,  0 users,  load average: 0.00, 0.10, 0.12
Tasks: 122 total,   1 running,  83 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.9 us,  2.3 sy,  0.0 ni, 90.4 id,  0.8 wa,  0.0 hi,  0.0 si
KiB Mem :  2028188 total,  1720580 free,   148508 used,   159100 buff/
KiB Swap:   499996 total,   334700 free,   165296 used.  1735164 avail

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+
 1117 root      20   0    4516      0      0 S  0.0  0.0   0:00.00
 1175 ubuntu    20   0   76636      0      0 S  0.0  0.0   0:00.01
 1177 ubuntu    20   0  111696      4      0 S  0.0  0.0   0:00.00
 1250 root      20   0  108092      8      4 S  0.0  0.0   0:00.01
 1469 ubuntu    20   0  108580      8      4 S  0.0  0.0   0:00.00
 1477 ubuntu    20   0   13320      4      4 S  0.0  0.0   0:00.00
 1482 root      20   0  108092     24      4 S  0.0  0.0   0:00.01
 1528 root      20   0  108092      8      4 S  0.0  0.0   0:00.01
 1562 ubuntu    20   0  108672    140      0 S  0.0  0.0   0:01.35
 1563 ubuntu    20   0   13320      4      4 S  0.0  0.0   0:00.00
 1592 ubuntu    20   0  925820  26112  14204 S  0.0  1.3   0:06.77
 1625 ubuntu    20   0  108604     28      4 S  0.0  0.0   0:00.03
 1626 ubuntu    20   0   13320      4      4 S  0.0  0.0   0:00.00
 1632 ubuntu    20   0  865348  21272  13792 S  0.0  1.0   0:00.78
 1661 ubuntu    20   0  699992      4      4 S  0.0  0.0   0:00.13
 2793 ubuntu    20   0   21064   3216   1924 S  0.0  0.2   0:09.37
 2830 ubuntu    20   0   11168      4      4 S  0.0  0.0   0:00.00
 2834 ubuntu    20   0   13320      0      0 S  0.0  0.0   0:00.00
 2836 ubuntu    20   0   28832      4      4 S  0.0  0.0   0:00.09
 3268 root      20   0  108092      8      4 S  0.0  0.0   0:00.01
 3329 ubuntu    20   0  108588      8      4 S  0.0  0.0   0:00.00
 3330 ubuntu    20   0   13320      4      4 S  0.0  0.0   0:00.00
 3331 ubuntu    20   0  700124      4      4 S  0.0  0.0   0:00.11
 3937 ubuntu    20   0   11168      4      4 S  0.0  0.0   0:00.00
 4279 ubuntu    20   0   11168      4      4 S  0.0  0.0   0:00.00
 4281 ubuntu    20   0   13320      4      4 S  0.0  0.0   0:00.00
 4282 ubuntu    20   0   29112   3144   2044 S  0.0  0.2   0:00.22
 5815 root      20   0       0      0      0 I  0.0  0.0   0:00.00
 5885 root      20   0       0      0      0 I  0.0  0.0   0:00.72
 6832 ubuntu    20   0   11168      4      4 S  0.0  0.0   0:00.00
 7564 ubuntu    20   0   44408   3764   3248 R  0.0  0.2   0:00.00
